Collection,Marketin_expense,Production_expense,Multiplex_coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,Time_taken,Twitter_hastags,Genre,Avg_age_actors,MPAA_film_rating,Num_multiplex,3D_available
26400,47.7598,71.28,0.462,33052.25,155.5,7.995,8.07,7.845,8.105,7.8,299587,175.28,282.112,Thriller,25,PG,533,NO
26200,43.0344,71.28,0.462,31669.055,168.5,8.1,8.165,8.02,8.14,7.8,394967,167.24,302.096,Comedy,25,PG,571,YES
27000,52.2564,71.28,0.462,33863.28,170.4,7.965,8.17,8.065,8.28,6.8,377048,193.4,222.16,Comedy,40,PG,497,YES
37800,21.2834,66.92,0.501,32957.815,141.7,8.155,8.365,8.23,8.53,7.16,475977,189.56,223.024,Thriller,43,PG,530,YES
40000,21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,150,303.2,Comedy,39,PG,454,NO
42000,21.6028,66.92,0.501,32496.75,115,8.01,8.125,7.94,8.055,7.16,482433,162.4,203.36,Thriller,21,PG,510,YES
48400,23.501,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,163.68,203.872,Thriller,21,PG,484,YES
61600,20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,138.32,244.928,Thriller,49,PG,451,YES
69800,20.6718,60.9,0.572,39018.32,89.3,7.185,7.345,7.235,7.43,8.34,567784,123.96,305.584,Thriller,20,PG,428,YES
53200,22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7,7.3,7.42,512492,154.64,264.256,Action,30,PG,495,NO
50600,22.83,68.82,0.552,34268.795,80.1,7.035,7.27,7.06,7.19,7.42,526836,162.12,304.048,Thriller,52,PG,419,NO
49400,23.1872,68.82,0.552,34502.105,80,6.98,7.17,7.08,7.33,8.42,473146,121.88,303.952,Thriller,56,PG,449,YES
42400,22.4538,68.82,0.552,33713.295,113.5,7.095,7.245,7.05,7.165,8.42,471960,180.48,243.392,Thriller,53,PG,400,NO
38600,23.4284,68.82,0.552,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,161.72,223.088,Thriller,21,PG,445,NO
40000,23.7672,68.82,0.552,32141.23,106.8,7.375,7.5,7.3,7.625,8.42,445250,186,243.2,Drama,39,PG,455,YES
33200,24.5854,68.82,0.552,33496.65,159,7.085,7.18,7.125,7.23,7.42,374797,106.64,242.656,Thriller,44,PG,526,YES
28800,25.0774,68.82,0.552,29991.445,168.8,7.01,7.16,7.02,7.07,8.42,264112,141.76,282.304,Comedy,34,PG,427,NO
38800,24.3954,68.82,0.552,31119.11,135.5,6.945,7.05,6.85,6.98,7.42,422013,119.76,263.104,Action,45,PG,507,NO
39400,21.7746,66.28,0.561,33124.465,119.2,6.46,6.725,6.5,6.685,7.64,442225,0,223.152,Thriller,21,PG,404,YES
41000,20.8674,66.28,0.561,33968.825,136.5,6.48,6.63,6.46,6.795,8.64,502413,140.2,223.28,Drama,30,PG,473,YES
50000,21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,198,284,Thriller,56,PG,462,NO
46800,20.9962,66.28,0.561,33318.89,94.9,6.555,6.74,6.565,6.51,8.64,496877,183.36,223.744,Thriller,41,PG,416,NO
37800,20.272,63,0.59,32707.84,121.1,6.3,6.365,6.2,6.5,6.78,410055,173.56,303.024,Comedy,55,PG,387,YES
70800,20.2622,57.44,0.597,40268.195,95.4,5.55,5.795,5.605,5.655,8.42,512329,150.16,265.664,Thriller,50,PG,480,YES
49400,20.411,56.48,0.59,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,115.88,303.952,Drama,22,PG,383,YES
63200,20.2864,57.64,0.589,37862.88,114,5.685,5.86,5.815,5.99,8.98,512129,148.64,305.056,Drama,45,PG,426,YES
46600,23.089,65.26,0.547,34135.475,102.7,6.01,6.115,5.965,6.28,7.06,480067,,283.728,Comedy,22,PG,438,NO
39200,22.0656,65.26,0.547,32924.485,120.7,6.37,6.66,6.45,6.66,7.06,467075,123.84,283.136,Comedy,20,PG,460,YES
37400,22.9864,65.26,0.547,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,,222.992,Thriller,30,PG,439,NO
32000,23.4342,65.26,0.547,33141.13,166.9,6.58,6.665,6.46,6.655,7.06,430178,124.4,302.56,Thriller,48,PG,387,NO
44400,22.2054,65.26,0.547,35863.08,141.3,6.225,6.46,6.285,6.58,7.06,525189,116.88,203.552,Comedy,56,PG,434,YES
50000,22.53,65.26,0.547,37562.91,116.9,5.885,6.155,5.95,6.045,8.06,469499,118,264,Action,28,PG,470,YES
66000,20.3902,57.76,0.5839,39462.72,133,5.28,5.455,5.315,5.505,7.28,477265,165.2,205.28,Action,30,PG,390,YES
47000,20.7168,61.74,0.602,34940.95,91.3,6.69,6.785,6.575,6.725,8.78,545499,189.4,243.76,Thriller,20,PG,375,NO
38800,20.8758,61.74,0.602,32146.785,104.6,6.65,6.78,6.58,6.77,8.78,465605,179.76,223.104,Action,44,PG,479,NO
44000,21.1578,67.14,0.591,32652.29,94.9,6.68,6.8,6.74,6.785,8.22,493569,142.8,263.52,Thriller,29,PG,406,YES
34800,22.7108,67.14,0.591,31074.67,110.3,6.745,6.915,6.73,6.615,8.22,461313,176.96,302.784,Thriller,40,PG,485,NO
41800,22.5632,67.14,0.591,32691.175,106.5,6.725,6.805,6.7,6.77,7.22,499656,166.36,223.344,Drama,56,PG,384,NO
48400,21.7652,76.62,0.587,35646.435,80.1,7.24,7.465,7.205,7.52,7.16,501152,195.68,283.872,Thriller,38,PG,410,YES
43400,23.1752,76.62,0.587,33113.355,91,7.28,7.4,7.29,7.455,8.16,491978,200.68,263.472,Action,46,PG,400,NO
45600,21.8328,76.62,0.587,33691.075,81.3,7.27,7.52,7.195,7.44,7.16,500290,117.12,203.648,Thriller,20,PG,361,NO
46800,23.9078,76.62,0.587,34690.975,79.7,7.32,7.385,7.25,7.47,8.16,493124,119.36,243.744,Drama,45,PG,434,YES
48200,21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,157.64,203.856,Thriller,40,PG,389,NO
42800,21.9024,80.66,0.563,34918.73,118.5,7.585,7.75,7.585,8.07,8.26,496661,120.56,203.424,Comedy,28,PG,382,NO
40000,22.0306,80.66,0.563,34879.845,148,7.835,8.14,7.87,8.05,8.26,478283,146,243.2,Comedy,22,PG,453,NO
41600,21.7414,80.66,0.563,34107.7,119.3,7.84,7.97,7.87,8.14,7.26,490040,118.32,223.328,Thriller,57,PG,419,YES
42400,21.1292,80.66,0.563,34618.76,127.2,7.33,7.5,7.45,7.69,8.26,447528,176.48,303.392,Drama,53,PG,377,YES
40600,21.6774,80.66,0.563,32630.07,110.1,7.735,7.885,7.59,7.785,8.26,467670,128.12,303.248,Action,37,PG,472,NO
56000,20.8226,64.72,0.574,37368.485,107,7.25,7.36,7.3,7.29,8.2,499995,129.2,284.48,Drama,54,PG,374,YES
47800,20.8924,64.72,0.574,36768.545,143.9,7.145,7.445,7.145,7.46,7.2,510436,111.56,243.824,Drama,49,PG,501,YES
49600,20.7318,64.72,0.574,35007.61,105.7,7.235,7.405,7.265,7.29,8.2,492574,121.92,203.968,Thriller,20,PG,469,NO
45800,20.7102,64.72,0.574,34257.685,120.2,7.24,7.41,7.165,7.385,7.2,485743,151.16,203.664,Drama,34,PG,405,YES
47800,21.0118,63.98,0.551,35490.895,121.5,7.515,7.645,7.505,7.775,7.3,454277,133.56,283.824,Drama,23,PG,422,NO
53200,21.147,63.98,0.551,36829.65,129.6,7.625,7.925,7.755,7.815,8.3,495454,194.64,244.256,Thriller,56,PG,521,NO
45000,21.0376,63.98,0.551,33413.325,118.6,7.69,7.92,7.755,7.78,7.3,436753,119,223.6,Thriller,50,PG,472,YES
44400,21.4302,63.98,0.551,34002.155,130.3,8.035,8.13,8.08,8.26,8.3,489563,144.88,243.552,Comedy,43,PG,510,YES
47200,21.132,61.82,0.511,38923.885,159.8,8.25,8.455,8.28,8.175,8.44,509357,139.44,203.776,Thriller,28,PG,456,NO
57400,21.0604,61.82,0.511,39323.845,136.6,8.17,8.31,8.135,8.555,8.44,515362,151.48,304.592,Comedy,31,PG,478,YES
45200,20.9368,61.82,0.511,35646.435,139.6,8.43,8.535,8.425,8.425,8.44,503147,147.04,303.616,Drama,58,PG,424,YES
44000,20.7864,61.82,0.511,35579.775,147.4,8.42,8.525,8.295,8.575,7.44,496193,164.8,263.52,Thriller,23,PG,451,NO
45800,20.8406,85.08,0.536,35785.31,127.1,8.02,8.295,8.015,8.34,8.36,489837,183.16,283.664,Drama,60,PG,518,NO
50000,20.575,85.08,0.536,34502.105,102.4,8.04,8.225,8.095,8.305,8.36,508101,206,284,Action,46,PG,492,NO
41200,20.8588,85.08,0.536,34713.195,150.8,8.095,8.33,8.04,8.305,8.36,468556,114.24,263.296,Action,54,PG,465,NO
56800,22.4408,60.78,0.555,36801.875,131.3,8.215,8.385,8.12,8.29,7.4,489220,199.36,284.544,Thriller,46,PG,467,NO
42800,22.3008,60.78,0.555,34235.465,143.1,8.21,8.325,8.23,8.245,8.4,467769,204.56,243.424,Thriller,21,PG,463,NO
77400,22.4166,60.78,0.555,44823.295,149.5,8.15,8.34,8.215,8.305,7.4,543618,125.48,246.192,Thriller,53,PG,413,YES
87600,21.6374,60.78,0.555,43440.1,110.4,8.23,8.29,8.2,8.285,7.4,544945,217.52,207.008,Action,25,PG,512,YES
66400,21.372,60.78,0.555,41195.88,136,8.085,8.32,8.165,8.435,8.4,484613,131.28,265.312,Thriller,31,PG,510,NO
55000,22.9732,72.12,0.48,37368.485,153.4,8.45,8.66,8.595,8.74,6.82,471052,193,304.4,Drama,24,PG,470,YES
53000,22.2864,72.12,0.48,37668.455,144.8,8.425,8.63,8.44,8.79,7.82,491484,144.6,204.24,Thriller,58,PG,445,YES
37200,24.5752,72.12,0.48,35579.775,158.9,8.485,8.725,8.635,8.725,7.82,457364,135.44,262.976,Action,57,PG,544,NO
38600,24.2322,72.12,0.48,34091.035,160.9,8.515,8.79,8.56,8.71,7.82,443252,137.72,283.088,Comedy,36,PG,555,YES
40200,22.792,72.12,0.48,34257.685,163.5,8.685,8.875,8.66,8.935,6.82,432081,,203.216,Comedy,20,PG,458,YES
39000,22.6524,72.12,0.48,32502.305,170.2,8.905,9.025,8.935,8.925,6.82,430817,,263.12,Comedy,57,PG,515,YES
39000,23.424,72.12,0.48,32418.98,165.4,8.815,8.965,8.76,9.04,6.82,405008,205.8,283.12,Drama,20,PG,482,YES
40800,22.6234,72.12,0.48,34035.485,158.7,8.825,9.025,8.915,8.99,6.82,442160,120.16,283.264,Action,57,PG,517,YES
39600,22.5604,72.12,0.48,35963.07,170.6,8.64,8.91,8.73,8.85,7.82,473768,171.92,203.168,Action,48,PG,502,NO
38800,25.2726,72.12,0.48,34602.095,164.7,8.715,8.86,8.56,8.775,6.82,437611,195.76,283.104,Comedy,41,PG,555,YES
43400,22.1586,72.12,0.48,34413.225,127.9,8.475,8.7,8.48,8.79,7.82,423752,138.68,203.472,Comedy,37,PG,453,YES
45600,22.0168,75.02,0.453,37301.825,155.1,8.595,8.685,8.5,8.87,8.44,495560,113.12,263.648,Thriller,34,PG,544,YES
37600,22.4658,75.02,0.453,32846.715,166.4,8.725,8.885,8.72,8.965,7.44,394329,0,303.008,Thriller,35,PG,577,YES
37400,24.4424,75.02,0.453,33841.06,168.9,8.705,8.875,8.725,8.6,8.44,405200,201.48,202.992,Thriller,59,PG,604,YES
37000,22.8462,75.02,0.453,34740.97,157.7,8.73,8.93,8.855,8.975,8.44,446050,133.4,242.96,Action,39,PG,570,NO
36600,23.4268,75.02,0.453,32930.04,161.7,8.72,8.795,8.64,8.92,7.44,415458,151.32,222.928,Comedy,24,PG,539,NO
42400,22.6316,75.02,0.453,34307.68,146,8.535,8.645,8.5,8.86,8.44,432696,130.48,263.392,Comedy,23,PG,528,NO
38400,23.0196,75.02,0.453,33446.655,156.1,8.615,8.755,8.54,8.595,7.44,454755,189.68,303.072,Action,28,PG,609,NO
40800,22.6116,75.02,0.453,32618.96,146.6,8.6,8.865,8.69,8.89,7.44,410730,160.16,283.264,Thriller,40,PG,566,YES
38600,22.8952,75.02,0.453,31835.705,138.7,8.52,8.74,8.54,8.685,8.44,463019,203.72,223.088,Thriller,20,PG,530,YES
44000,21.3798,106.3,0.419,32607.85,143.2,8.8,8.92,8.735,9.03,7.18,455844,156.8,203.52,Thriller,23,PG,570,YES
40600,21.433,106.3,0.419,33352.22,157.6,8.78,9.02,8.815,8.99,8.18,454602,194.12,203.248,Action,39,PG,568,YES
41000,21.8598,106.3,0.419,33113.355,166.4,8.83,9.075,8.865,9.05,8.18,388265,178.2,203.28,Comedy,51,PG,608,YES
34600,23.0076,106.3,0.419,32530.08,170.5,8.89,9.09,8.965,9.165,8.18,334417,182.92,202.768,Drama,51,PG,524,YES
37600,21.9698,106.3,0.419,32657.845,169.3,8.895,9.13,8.9,9.06,8.18,395312,125.52,263.008,Thriller,56,PG,622,NO
42800,23.3804,106.3,0.419,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,162.56,283.424,Drama,22,PG,608,YES
31400,27.747,106.3,0.419,31180.215,169.1,9.035,9.24,9.1,9.115,8.18,303828,154.28,202.512,Drama,42,PG,635,NO
32400,25.183,98.78,0.376,31624.615,169.5,8.955,9.135,9.08,9.255,6.76,391198,118.48,302.592,Comedy,31,PG,567,YES
36000,26.5086,98.78,0.376,35724.205,172.3,9.02,9.195,9.04,9.115,7.76,444896,163.2,282.88,Comedy,41,PG,564,NO
28600,37.625,98.78,0.376,31313.535,168.2,8.85,9.06,8.95,9.175,6.76,406685,157.72,202.288,Drama,30,PG,581,YES
38400,26.8012,98.78,0.376,35874.19,172.4,8.815,9.035,8.82,9.095,6.76,466796,179.68,263.072,Comedy,25,PG,663,YES
39200,43.8588,98.78,0.376,35140.93,171.2,8.73,8.985,8.79,8.955,6.76,438063,151.84,243.136,Comedy,29,PG,559,YES
46000,31.801,98.78,0.376,35396.46,171.4,8.795,8.92,8.8,8.83,6.76,456491,179.2,243.68,Action,57,PG,550,YES
36800,26.5964,98.78,0.376,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,205.36,202.944,Action,58,PG,617,YES
31200,39.5234,98.78,0.376,31980.135,171.9,8.825,8.86,8.735,8.885,6.76,402396,180.24,222.496,Action,32,PG,646,NO
36200,31.1556,98.78,0.376,35190.925,171.7,8.89,8.965,8.84,9.085,6.76,411162,157.24,222.896,Thriller,37,PG,663,YES
34800,26.4528,98.78,0.376,33007.81,167,8.87,9.08,8.91,9.205,6.76,394365,202.96,202.784,Thriller,37,PG,622,NO
34200,27.0466,98.78,0.376,35851.97,171.9,8.925,9.235,8.915,9.225,7.76,442884,138.84,222.736,Comedy,40,PG,674,YES
26600,24.996,98.78,0.376,32535.635,171.7,9.055,9.295,9.08,9.235,6.76,380380,161.32,282.128,Thriller,39,PG,593,NO
35600,30.8904,98.78,0.376,34168.805,171.4,9.045,9.205,9.16,9.255,7.76,411330,173.12,202.848,Drama,29,PG,592,YES
28000,25.818,98.78,0.376,34296.57,167.1,9.07,9.23,9.065,9.41,6.76,354960,113.6,202.24,Drama,28,PG,570,NO
28800,52.5728,98.78,0.376,27880.545,173.5,9.185,9.34,9.145,9.45,7.76,233100,199.76,242.304,Comedy,43,PG,561,YES
26800,86.421,94.16,0.129,30013.665,173.5,9.33,9.48,9.18,9.365,9.06,329378,105.36,262.144,Thriller,42,PG,807,YES
31200,101.948,94.16,0.129,30374.74,173.5,9.18,9.4,9.21,9.385,9.06,308802,146.24,262.496,Comedy,25,PG,793,YES
23600,75.5948,94.16,0.129,27236.165,171.3,9.26,9.46,9.225,9.365,8.06,294970,132.72,261.888,Thriller,52,PG,795,YES
27600,67.5868,94.16,0.129,34052.15,173.5,9.155,9.37,9.14,9.495,8.06,305675,155.52,202.208,Thriller,59,PG,846,YES
31200,63.101,94.16,0.129,31263.54,173.5,9.09,9.255,9.155,9.47,8.06,399297,112.24,202.496,Thriller,32,PG,760,YES
29200,67.3724,94.16,0.129,27363.93,169.2,9.115,9.32,9.17,9.475,9.06,286266,137.84,222.336,Comedy,24,PG,800,NO
35600,66.6198,94.16,0.129,28808.23,167.3,9.21,9.385,9.2,9.14,8.06,309356,197.12,282.848,Drama,43,PG,838,NO
30800,74.6794,94.16,0.129,31091.335,168.4,9.12,9.39,9.205,9.24,8.06,347105,202.16,302.464,Comedy,48,PG,759,NO
43000,53.132,94.16,0.129,34007.71,170.8,9.175,9.24,9.035,9.315,8.06,428936,110.6,243.44,Thriller,34,PG,831,NO
39200,49.9264,94.16,0.129,30019.22,173.5,9.07,9.27,9.115,9.365,8.06,466687,129.84,223.136,Thriller,42,PG,754,NO
30600,42.5316,94.16,0.129,27841.66,161.5,9.09,9.22,9.05,9.42,9.06,455196,108.12,202.448,Comedy,46,PG,851,YES
38800,62.9836,94.16,0.129,31713.495,172,9.11,9.32,9.05,9.275,8.06,411772,121.76,243.104,Comedy,58,PG,840,NO
34000,48.277,94.16,0.129,34046.595,169.5,9.115,9.265,9.015,9.11,9.06,440004,148.8,302.72,Action,48,PG,806,NO
31200,90.7002,94.16,0.129,34174.36,156.1,9.06,9.275,9.04,9.13,9.06,432078,198.24,222.496,Thriller,37,PG,868,NO
26200,68.9336,94.16,0.129,29285.96,167.5,9.005,9.145,9.075,9.305,8.06,426057,127.24,202.096,Thriller,60,PG,749,NO
82600,44.4716,94.16,0.395,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,164.52,266.608,Comedy,57,PG,549,YES
48600,46.8568,94.16,0.395,33696.63,173.5,9.02,9.23,9.05,9.185,8.06,483363,177.72,263.888,Thriller,46,PG,556,NO
46600,48.5004,94.16,0.129,36163.05,173.5,9.08,9.155,9.01,9.22,9.06,475753,143.32,243.728,Drama,36,PG,765,YES
54000,45.4692,94.16,0.395,34718.75,166.1,9.07,9.24,9.06,9.03,9.06,540041,168.8,244.32,Drama,23,PG,519,YES
100000,49.2672,94.16,0.395,41601.395,164.3,8.915,9.055,8.935,9.155,8.06,539697,210,228,Comedy,35,PG,539,YES
100000,56.6754,94.16,0.395,43340.11,171.7,8.87,9.12,8.945,8.98,8.06,531084,168,248,Drama,22,PG,557,YES
100000,50.3804,94.16,0.395,46523.125,167.4,8.87,9.03,8.8,8.975,9.06,561132,160,248,Thriller,57,PG,603,YES
45400,64.8472,94.16,0.395,32518.97,165.3,8.645,8.805,8.755,8.95,9.06,467883,167.08,303.632,Drama,56,PG,659,YES
50000,78.48,94.16,0.395,33891.055,166.5,8.815,8.86,8.705,9.055,8.06,471586,200,244,Thriller,22,PG,533,YES
100000,60.2038,94.16,0.395,44045.595,169.7,8.945,9.045,8.845,9.07,9.06,517904,166,308,Thriller,37,PG,522,YES
47600,56.0056,94.16,0.395,32646.735,152.7,8.655,8.895,8.71,8.89,8.06,468741,201.52,203.808,Drama,22,PG,549,YES
47600,66.008,94.16,0.395,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,133.52,223.808,Comedy,23,PG,663,NO
44600,68.9906,94.16,0.395,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,110.92,303.568,Action,22,PG,536,NO
34800,44.1484,94.16,0.395,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,158.96,222.784,Drama,28,PG,606,NO
38200,66.278,94.16,0.395,32663.4,170.8,8.69,8.82,8.725,8.985,8.06,470298,195.64,243.056,Thriller,54,PG,575,NO
46200,22.7828,63.1,0.49,30952.46,162,8.65,8.73,8.635,8.79,7.68,415584,187.24,243.696,Thriller,38,PG,530,NO
47200,21.8356,63.1,0.49,35640.88,157.6,8.57,8.715,8.615,8.805,7.68,467457,197.44,203.776,Comedy,59,PG,540,YES
45200,21.6894,63.1,0.49,32546.745,142.2,8.58,8.65,8.485,8.88,7.68,480435,195.04,303.616,Thriller,35,PG,530,YES
58800,21.3328,63.1,0.49,36363.03,106.6,8.39,8.545,8.395,8.41,7.68,500067,123.76,244.704,Comedy,48,PG,509,YES
46400,21.4044,63.1,0.49,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,171.28,303.712,Drama,49,PG,520,YES
49200,21.085,63.1,0.49,35079.825,146.9,8.325,8.36,8.295,8.38,8.68,487150,141.84,283.936,Drama,31,PG,474,YES
59800,21.3284,63.1,0.49,38107.3,147.9,8.405,8.625,8.395,8.75,7.68,513390,117.96,224.784,Comedy,28,PG,548,NO
74400,21.156,59.92,0.512,38773.9,131.9,8.445,8.725,8.58,8.59,8.44,505742,194.88,225.952,Drama,50,PG,456,NO
79600,21.3176,59.92,0.512,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,169.92,286.368,Action,60,PG,466,YES
72400,21.3776,59.92,0.512,34129.92,135.7,8.655,8.805,8.605,8.74,7.44,461876,132.48,305.792,Thriller,59,PG,561,YES
75800,21.8206,59.92,0.512,39746.025,165.7,8.64,8.675,8.54,8.75,7.44,549262,185.16,306.064,Thriller,56,PG,430,YES
65000,22.0016,59.92,0.512,36457.465,169.1,8.48,8.665,8.545,8.62,8.44,493498,147,285.2,Drama,60,PG,451,YES
52800,21.6616,59.92,0.512,31130.22,163.3,8.47,8.58,8.425,8.545,8.44,440780,198.56,204.224,Drama,27,PG,467,YES
59200,21.2094,59.92,0.512,34179.915,142.3,8.285,8.475,8.25,8.43,7.44,463628,163.84,224.736,Drama,45,PG,466,YES
100000,21.1204,59.92,0.512,43501.205,127.1,8.275,8.405,8.245,8.675,8.44,511949,120,268,Drama,35,PG,458,YES
64000,21.575,61.88,0.563,37674.01,114.6,8.095,8.15,8.065,8.115,7.96,480787,156.8,265.12,Thriller,23,PG,423,YES
59600,22.5158,61.88,0.563,36418.58,102.6,7.69,7.86,7.66,7.655,8.96,537380,151.92,204.768,Thriller,40,PG,460,YES
69800,21.674,61.88,0.563,39912.675,112.4,7.585,7.785,7.66,7.835,8.96,520707,185.96,285.584,Thriller,20,PG,464,NO
66000,21.8136,61.88,0.563,38612.805,95,6.73,6.82,6.645,6.845,8.96,512163,123.2,225.28,Comedy,55,PG,510,NO
61000,21.3822,61.88,0.563,37435.145,104.3,6.645,6.79,6.63,6.975,7.96,507193,176.2,224.88,Comedy,40,PG,384,NO
72800,21.7328,61.88,0.563,39873.79,99.8,6.62,6.83,6.7,6.895,7.96,515199,210.56,225.824,Drama,40,PG,448,YES
62200,20.4374,60.86,0.599,37774,83.4,6.77,6.935,6.775,7.08,7.88,503965,136.44,264.976,Thriller,24,PG,412,NO
58200,20.2878,60.86,0.599,36685.22,92.3,6.745,6.985,6.77,7.06,8.88,525053,185.64,284.656,Thriller,59,PG,489,NO
100000,20.2762,55.92,0.578,43745.625,105.5,7.095,7.235,7.12,7.25,9.12,546519,164,288,Thriller,26,PG,430,YES
