ID,Soloist_Rank,Soloist_Name,Soloist_Instrument
7,2,"Weilerstein, Alisa",Cello
12,2,"Yu, Wei",Cello
22,3,"Yeh, Ru-Pei",Cello
27,3,"Yeh, Ru-Pei",Cello
28,2,"Brey, Carter",Cello
33,3,"Yeh, Ru-Pei",Cello
34,2,"Tu, Qiang",Cello
38,2,"Tu, Qiang",Cello
45,2,"Tu, Qiang",Cello
53,2,"Tu, Qiang",Cello
61,2,"Tu, Qiang",Cello
73,1,"Brey, Carter",Cello
82,1,"Yu, Wei",Cello
85,1,"Yu, Wei",Cello
87,1,"Kudo, Sumire",Cello
90,1,"Yeh, Ru-Pei",Cello
104,1,"Bartlett, Eric",Cello
117,1,"Moon, Eileen",Cello
130,1,"Brey, Carter",Cello
147,1,"Kudo, Sumire",Cello
152,1,"Kudo, Sumire",Cello
157,1,"Kudo, Sumire",Cello
158,1,"Bartlett, Eric",Cello
159,1,"Kudo, Sumire",Cello
160,1,"Yeh, Ru-Pei",Cello
161,1,"Yu, Wei",Cello
170,1,"Kitsopoulos, Maria",Cello
177,1,"Brey, Carter",Cello
184,1,"Lee, Andrea",Cello
190,1,"Lee, Andrea",Cello
196,1,"Lee, Andrea",Cello
202,1,"Lee, Andrea",Cello
208,1,"Lee, Andrea",Cello
214,1,"Lee, Andrea",Cello
220,1,"Lee, Andrea",Cello
226,1,"Lee, Andrea",Cello
231,1,"Tu, Qiang",Cello
235,1,"Moon, Eileen",Cello
236,2,"Brey, Carter",Cello
239,4,"Gonzales, Alexei Yupanqui",Cello
240,4,"Vickery, Nathan",Cello
242,1,"Tu, Qiang",Cello
299,4,"Wang, Jian",Cello
300,2,"Tu, Qiang",Cello
303,2,"Brey, Carter",Cello
307,1,"Moon, Eileen",Cello
311,2,"Yu, Wei",Cello
319,2,"Tu, Qiang",Cello
323,4,"Moon, Eileen",Cello
330,2,"Tu, Qiang",Cello
334,1,"Moon, Eileen",Cello
337,2,"Tu, Qiang",Cello
340,1,"Kudo, Sumire",Cello
344,2,"Tu, Qiang",Cello
351,2,"Tu, Qiang",Cello
353,1,"Brey, Carter",Cello
354,1,"Moon, Eileen",Cello
354,4,"Gonzales, Alexei Yupanqui",Cello
356,2,"Campbell, Jay",Cello
358,1,"Tu, Qiang",Cello
358,4,"Gonzales, Alexei Yupanqui",Cello
364,1,"Tu, Qiang",Cello
364,3,"Moon, Eileen",Cello
366,2,"Kitsopoulos, Maria",Cello
366,3,"Kitsopoulos, Maria",Cello
367,2,"Yu, Wei",Cello
369,1,"Tu, Qiang",Cello
369,3,"Kudo, Sumire",Cello
371,3,"Yu, Wei",Cello
372,3,"Bartlett, Eric",Cello
373,3,"Yu, Wei",Cello
375,3,"Kudo, Sumire",Cello
378,2,"Bartlett, Eric",Cello
378,3,"Yeh, Ru-Pei",Cello
379,2,"Kudo, Sumire",Cello
379,3,"Yu, Wei",Cello
380,2,"Yeh, Ru-Pei",Cello
381,2,"Yu, Wei",Cello
381,3,"Kudo, Sumire",Cello
382,3,"Yeh, Ru-Pei",Cello
383,3,"Yu, Wei",Cello
388,2,"Gonzales, Alexei Yupanqui",Cello
390,2,"Bartlett, Eric",Cello
392,2,"Kudo, Sumire",Cello
392,3,"Moon, Eileen",Cello
394,2,"Vogler, Jan",Cello
395,2,"Vogler, Jan",Cello
395,3,"Capucon (CapuÌ¤on), Gautier",Cello
402,3,"Tu, Qiang",Cello
412,1,"Tu, Qiang",Cello
415,3,"Brey, Carter",Cello
417,1,"Tu, Qiang",Cello
419,3,"Wang, Jian",Cello
421,1,"Weilerstein, Alisa",Cello
422,1,"Weilerstein, Alisa",Cello
422,3,"Wang, Jian",Cello
424,4,"Moon, Eileen",Cello
429,2,"Brey, Carter",Cello
439,2,"Brey, Carter",Cello
453,4,"Moon, Eileen",Cello
461,4,"Tu, Qiang",Cello
474,4,"Tu, Qiang",Cello
485,2,"Kudo, Sumire",Cello
489,2,"Kudo, Sumire",Cello
492,2,"Kudo, Sumire",Cello
494,4,"Weilerstein, Alisa",Cello
495,2,"Kudo, Sumire",Cello
502,2,"Kudo, Sumire",Cello
506,2,"Kudo, Sumire",Cello
509,2,"Kudo, Sumire",Cello
518,2,"Yu, Wei",Cello
520,1,"Cabezas, Gabriel",Cello
520,2,"Brey, Carter",Cello
521,2,"Brey, Carter",Cello
522,2,"Brey, Carter",Cello
523,2,"Brey, Carter",Cello
524,2,"Brey, Carter",Cello
525,2,"Brey, Carter",Cello
528,1,"Tu, Qiang",Cello
532,1,"Bartlett, Eric",Cello
540,1,"Kudo, Sumire",Cello
543,4,"Kitsopoulos, Maria",Cello
545,1,"Kudo, Sumire",Cello
545,4,"Kitsopoulos, Maria",Cello
549,1,"Brey, Carter",Cello
552,1,"Brey, Carter",Cello
555,2,"Kitsopoulos, Maria",Cello
557,4,"Kudo, Sumire",Cello
561,1,"Moon, Eileen",Cello
562,2,"Gonzales, Alexei Yupanqui",Cello
573,2,"Tu, Qiang",Cello
575,1,"Moon, Eileen",Cello
582,2,"Yeh, Ru-Pei",Cello
585,1,"Moon, Eileen",Cello
589,1,"Moon, Eileen",Cello
613,4,"Jee, Patrick",Cello
619,4,"Jee, Patrick",Cello
622,3,"Moon, Eileen",Cello
624,2,"Moon, Eileen",Cello
625,2,"Vogler, Jan",Cello
628,2,"Brey, Carter",Cello
628,3,"Gonzales, Alexei Yupanqui",Cello
630,3,"Yu, Wei",Cello
630,4,"Yeh, Ru-Pei",Cello
633,3,"Bartlett, Eric",Cello
640,1,"Brey, Carter",Cello
641,1,"Kitsopoulos, Maria",Cello
642,4,"Yeh, Ru-Pei",Cello
650,3,"Yu, Wei",Cello
650,4,"Yeh, Ru-Pei",Cello
653,1,"Yeh, Ru-Pei",Cello
659,1,"Yu, Wei",Cello
664,3,"Brey, Carter",Cello
666,4,"Yeh, Ru-Pei",Cello
668,1,"Ma, Yo-Yo",Cello
674,4,"Yeh, Ru-Pei",Cello
690,4,"Yeh, Ru-Pei",Cello
705,4,"Vickery, Nathan",Cello
712,2,"Brey, Carter",Cello
712,4,"Kudo, Sumire",Cello
716,2,"Yu, Wei",Cello
720,2,"Moon, Eileen",Cello
722,2,"Tu, Qiang",Cello
751,2,"Brey, Carter",Cello
770,3,"Gonzales, Alexei Yupanqui",Cello
773,3,"Vickery, Nathan",Cello
784,4,"Vickery, Nathan",Cello
804,2,"Brey, Carter",Cello
805,2,"Brey, Carter",Cello
818,3,"Gonzales, Alexei Yupanqui",Cello
837,3,"Gonzales, Alexei Yupanqui",Cello
846,3,"Gonzales, Alexei Yupanqui",Cello
849,2,"Brey, Carter",Cello
851,4,"Bartlett, Eric",Cello
852,2,"Brey, Carter",Cello
855,2,"Brey, Carter",Cello
856,3,"Gonzales, Alexei Yupanqui",Cello
862,2,"Bartlett, Eric",Cello
863,2,"Yu, Wei",Cello
870,3,"Gonzales, Alexei Yupanqui",Cello
872,4,"Bartlett, Eric",Cello
879,2,"Bartlett, Eric",Cello
879,4,"Yeh, Ru-Pei",Cello
881,1,"Brey, Carter",Cello
881,2,"Yu, Wei",Cello
885,4,"Tu, Qiang",Cello
887,2,"Bartlett, Eric",Cello
888,3,"Gonzales, Alexei Yupanqui",Cello
889,2,"Yu, Wei",Cello
890,4,"Tu, Qiang",Cello
895,2,"Bartlett, Eric",Cello
895,4,"Tu, Qiang",Cello
896,2,"Yu, Wei",Cello
899,3,"Gonzales, Alexei Yupanqui",Cello
905,2,"Brey, Carter",Cello
907,1,"Yu, Wei",Cello
908,2,"Brey, Carter",Cello
910,3,"Gonzales, Alexei Yupanqui",Cello
911,2,"Brey, Carter",Cello
916,1,"Yu, Wei",Cello
916,2,"Ma, Yo-Yo",Cello
920,2,"Ma, Yo-Yo",Cello
921,1,"Tu, Qiang",Cello
921,3,"Gonzales, Alexei Yupanqui",Cello
925,1,"Tu, Qiang",Cello
928,4,"Jee, Patrick",Cello
929,1,"Tu, Qiang",Cello
933,1,"Tu, Qiang",Cello
933,4,"Kudo, Sumire",Cello
937,1,"Tu, Qiang",Cello
939,3,"Kudo, Sumire",Cello
940,2,"Jee, Patrick",Cello
941,1,"Tu, Qiang",Cello
942,2,"Tu, Qiang",Cello
945,1,"Tu, Qiang",Cello
946,2,"Gonzales, Alexei Yupanqui",Cello
946,4,"Brey, Carter",Cello
948,2,"Brey, Carter",Cello
949,2,"Weilerstein, Alisa",Cello
949,4,"Brey, Carter",Cello
950,2,"Mueller-Schott, Daniel",Cello
954,2,"Brey, Carter",Cello
956,2,"Lee, Jiyoung",Cello
958,2,"Ungerleider, Tavi",Cello
962,2,"Vickery, Nathan",Cello
964,3,"Weilerstein, Alisa",Cello
969,2,"Kudo, Sumire",Cello
971,4,"Kitsopoulos, Maria",Cello
975,2,"Jee, Patrick",Cello
978,3,"Brey, Carter",Cello
988,4,"Brey, Carter",Cello
1003,4,"Vickery, Nathan",Cello
1004,2,"Yeh, Ru-Pei",Cello
1005,2,"Kudo, Sumire",Cello
794,3,AXIOM,Chamber Orchestra
313,1,"Gruber, HK",Chansonnier
314,1,"Gruber, HK",Chansonnier
7,3,Brooklyn Youth Chorus,Children's Chorus
374,1,Quintessenso Mongolian ChildrenÛªs Choir,Children's Chorus
380,1,Quintessenso Mongolian ChildrenÛªs Choir,Children's Chorus
599,1,Brooklyn Youth Chorus,Children's Chorus
709,3,Brooklyn Youth Chorus,Children's Chorus
712,3,Brooklyn Youth Chorus,Children's Chorus
717,3,Brooklyn Youth Chorus,Children's Chorus
832,4,Brooklyn Youth Chorus,Children's Chorus
838,4,Brooklyn Youth Chorus,Children's Chorus
397,2,"Carlyle, Warren",Choreographer
615,3,"Rhodes, Josh",Choreographer
12,1,New York Choral Artists,Chorus
15,1,Westminster Symphonic Choir,Chorus
17,1,Westminster Symphonic Choir,Chorus
30,1,Westminster Symphonic Choir,Chorus
32,1,Westminster Symphonic Choir,Chorus
37,1,Westminster Symphonic Choir,Chorus
40,1,Westminster Symphonic Choir,Chorus
54,1,Westminster Symphonic Choir,Chorus
59,1,Westminster Symphonic Choir,Chorus
61,1,Manhattan School of Music Symphonic Chorus and Chamber Choir,Chorus
68,1,New York Choral Artists,Chorus
111,1,Manhattan School of Music Chamber Choir,Chorus
127,1,The Collegiate Chorale,Chorus
235,2,New York Choral Artists,Chorus
259,3,Westminster Symphonic Choir,Chorus
306,1,Westminster Symphonic Choir,Chorus
319,1,Westminster Symphonic Choir,Chorus
415,2,Bach Collegium Japan,Chorus
420,2,Bach Collegium Japan,Chorus
421,2,Yale Schola Cantorum,Chorus
427,2,Bach Collegium Japan,Chorus
428,2,Yale Schola Cantorum,Chorus
437,2,Bach Collegium Japan,Chorus
438,2,Yale Schola Cantorum,Chorus
455,2,New York Choral Artists,Chorus
541,4,New York Choral Artists,Chorus
564,2,"New York Choral Consortium, Representatives of the",Chorus
567,2,"New York Choral Consortium, Representatives of the",Chorus
594,1,OrfeÌ_n PamplonÌ©s,Chorus
598,1,OrfeÌ_n PamplonÌ©s,Chorus
666,1,New York Choral Artists,Chorus
683,1,Manhattan School of Music Chamber Choir,Chorus
684,1,Oratorio Society of New York,Chorus
696,3,Westminster Symphonic Choir,Chorus
698,3,Westminster Symphonic Choir,Chorus
700,3,Westminster Symphonic Choir,Chorus
701,3,Westminster Symphonic Choir,Chorus
703,3,Westminster Symphonic Choir,Chorus
704,3,Westminster Symphonic Choir,Chorus
705,3,Westminster Symphonic Choir,Chorus
706,2,The Collegiate Chorale,Chorus
706,3,Westminster Symphonic Choir,Chorus
708,3,Westminster Symphonic Choir,Chorus
711,3,Westminster Symphonic Choir,Chorus
802,3,"Choir of Trinity Wall Street, The",Chorus
866,1,Colorado Symphony Orchestra Chorus,Chorus
912,2,Musica Sacra,Chorus
913,2,Musica Sacra,Chorus
914,2,Musica Sacra,Chorus
915,2,Musica Sacra,Chorus
929,2,Manhattan School of Music Symphonic Choir,Chorus
935,2,Manhattan School of Music Symphonic Choir,Chorus
986,2,New York Choral Artists,Chorus
1011,2,New York Choral Artists,Chorus
12,3,"Williamson, Stephen",Clarinet
14,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
15,2,"Zoloto, Amy",Clarinet
21,2,"Nuccio, Mark",Clarinet
148,1,"Nuccio, Mark",Clarinet
153,1,"Nuccio, Mark",Clarinet
164,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
247,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
258,4,"Nuccio, Mark",Clarinet
279,2,"Nuccio, Mark",Clarinet
284,2,"Nuccio, Mark",Clarinet
290,2,"Nuccio, Mark",Clarinet
302,2,"Nuccio, Mark",Clarinet
318,4,"Kriikku, Kari",Clarinet
329,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
337,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
407,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
428,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
433,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
440,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
447,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
483,4,"McGill, Anthony",Clarinet
490,4,"McGill, Anthony",Clarinet
513,2,"Drucker, Stanley",Clarinet
515,2,"Drucker, Stanley",Clarinet
529,4,"McGill, Anthony",Clarinet
532,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
536,1,"Nuccio, Mark",Clarinet
537,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
541,1,"Nuccio, Mark",Clarinet
569,1,"Nuccio, Mark",Clarinet
577,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
627,2,"Halevi, Chen",Clarinet
629,3,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
638,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
657,2,"Nuccio, Mark",Clarinet
659,2,"Nuccio, Mark",Clarinet
678,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
770,4,"Rodriguez, Alcides",Clarinet
815,3,"Gomez, Lino",Clarinet
821,3,"Gomez, Lino",Clarinet
840,3,"Gomez, Lino",Clarinet
850,3,"Gomez, Lino",Clarinet
853,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
856,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
863,3,"Gomez, Lino",Clarinet
870,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
877,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
892,1,"Nuccio, Mark",Clarinet
892,3,"Gomez, Lino",Clarinet
899,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
903,3,"Gomez, Lino",Clarinet
911,1,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
914,3,"Gomez, Lino",Clarinet
917,4,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
944,3,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
950,4,"McGill, Anthony",Clarinet
965,2,"LeBlanc, Dean",Clarinet
979,4,"McGill, Anthony",Clarinet
981,3,"Nuccio, Mark",Clarinet
993,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
998,2,"Martinez [MartÌ_nez] Forteza, Pascual",Clarinet
616,1,"Gerzo, Andrew",Computers
617,1,"Laurenzi, Carlo",Computers
618,1,"Prin, FrÌ©dÌ©ric",Computers
625,1,"Gerzo, Andrew",Computers
626,1,"Laurenzi, Carlo",Computers
3,2,"Grossman, David J.",Contrabass
23,3,"Grossman, David J.",Contrabass
28,3,"Grossman, David J.",Contrabass
34,3,"Grossman, David J.",Contrabass
35,2,"Okamoto, Satoshi",Contrabass
38,3,"Grossman, David J.",Contrabass
46,2,"Okamoto, Satoshi",Contrabass
54,2,"Okamoto, Satoshi",Contrabass
59,3,"Leonhart, Jay",Contrabass
62,2,"Okamoto, Satoshi",Contrabass
69,3,"Leonhart, Jay",Contrabass
74,1,"Okamoto, Satoshi",Contrabass
76,2,"Leonhart, Jay",Contrabass
79,3,"Leonhart, Jay",Contrabass
102,3,"Leonhart, Jay",Contrabass
104,2,"Leonhart, Jay",Contrabass
108,2,"Leonhart, Jay",Contrabass
113,2,"Leonhart, Jay",Contrabass
122,2,"Leonhart, Jay",Contrabass
132,2,"Leonhart, Jay",Contrabass
136,3,"Leonhart, Jay",Contrabass
142,2,"Leonhart, Jay",Contrabass
147,3,"Leonhart, Jay",Contrabass
157,3,"Leonhart, Jay",Contrabass
164,2,"Leonhart, Jay",Contrabass
169,2,"Leonhart, Jay",Contrabass
174,2,"Leonhart, Jay",Contrabass
177,3,"Leonhart, Jay",Contrabass
179,2,"Leonhart, Jay",Contrabass
182,3,"Leonhart, Jay",Contrabass
184,2,"Leonhart, Jay",Contrabass
187,3,"Leonhart, Jay",Contrabass
188,2,"Leonhart, Jay",Contrabass
192,3,"Leonhart, Jay",Contrabass
197,3,"Leonhart, Jay",Contrabass
198,2,"Leonhart, Jay",Contrabass
202,3,"Leonhart, Jay",Contrabass
212,3,"Leonhart, Jay",Contrabass
218,2,"Leonhart, Jay",Contrabass
229,2,"Leonhart, Jay",Contrabass
232,3,"Leonhart, Jay",Contrabass
237,1,"Blossom, William",Contrabass
237,2,"Baltacigal, Fora",Contrabass
242,3,"Leonhart, Jay",Contrabass
252,1,"Leonhart, Jay",Contrabass
253,3,"Leonhart, Jay",Contrabass
308,1,"O'Brien, Orin",Contrabass
312,2,"Okamoto, Satoshi",Contrabass
318,2,"Okamoto, Satoshi",Contrabass
323,2,"Okamoto, Satoshi",Contrabass
329,2,"Okamoto, Satoshi",Contrabass
330,4,"Grossman, David J.",Contrabass
336,2,"Okamoto, Satoshi",Contrabass
343,2,"Okamoto, Satoshi",Contrabass
350,2,"Okamoto, Satoshi",Contrabass
359,1,"Okamoto, Satoshi",Contrabass
365,1,"Okamoto, Satoshi",Contrabass
370,1,"Okamoto, Satoshi",Contrabass
397,1,"Cobb, Timothy",Contrabass
397,3,"Okamoto, Satoshi",Contrabass
398,3,"Zeugner, Max",Contrabass
400,3,"Surany, Rex",Contrabass
402,1,"Cobb, Timothy",Contrabass
406,4,"Zeugner, Max",Contrabass
412,4,"Cobb, Timothy",Contrabass
413,1,"Okamoto, Satoshi",Contrabass
430,2,"Baltacigal, Fora",Contrabass
433,3,"Grossman, David J.",Contrabass
439,3,"Grossman, David J.",Contrabass
440,2,"Baltacigal, Fora",Contrabass
465,4,"Okamoto, Satoshi",Contrabass
496,2,"Okamoto, Satoshi",Contrabass
500,2,"Okamoto, Satoshi",Contrabass
503,2,"Okamoto, Satoshi",Contrabass
507,2,"Okamoto, Satoshi",Contrabass
510,2,"Okamoto, Satoshi",Contrabass
576,1,"Okamoto, Satoshi",Contrabass
602,4,"Cobb, Timothy",Contrabass
646,1,"Okamoto, Satoshi",Contrabass
649,1,"Grossman, David J.",Contrabass
657,3,"Grossman, David J.",Contrabass
670,1,"Okamoto, Satoshi",Contrabass
672,1,"Okamoto, Satoshi",Contrabass
674,1,"Okamoto, Satoshi",Contrabass
774,3,"Okamoto, Satoshi",Contrabass
819,3,"Zeugner, Max",Contrabass
827,3,"Zeugner, Max",Contrabass
838,3,"Zeugner, Max",Contrabass
847,3,"Zeugner, Max",Contrabass
857,3,"Zeugner, Max",Contrabass
859,3,"Cohn, Ethan",Contrabass
