ID,Orchestra,ComposerName,ConductorName
592,Musicians from the New York Philharmonic,"Dutilleux, Henri","Gilbert, Alan"
257,Members of NY Philharmonic,"Mostel, Raphael","Gersen, Joshua"
391,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
177,New York Philharmonic,"Dvorak, AntonÌ_n","Eschenbach, Christoph"
226,New York Philharmonic,"Beethoven, Ludwig van","Fruhbeck de Burgos, Rafael"
762,New York Philharmonic,"Respighi, Ottorino","Gilbert, Alan"
66,New York Philharmonic,"Stalling, Carl W.","Daugherty, George"
422,New York Philharmonic,"Schubert, Franz","Gilbert, Alan"
384,NYP Presentation,"Piovani, Nicola","Gilbert, Alan"
343,New York Philharmonic,"Rachmaninoff, Sergei","Gilbert, Alan"
823,NYP Presentation,"Britten, Benjamin","Gilbert, Alan"
209,New York Philharmonic,"Stein, Andy","Fisher, Rob"
846,Musicians from the New York Philharmonic,"Rodgers, Richard","Gilbert, Alan"
616,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
99,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
389,Musicians from the New York Philharmonic,"LeFrak, Karen","Gilbert, Alan"
902,New York Philharmonic,"Sibelius, Jean","Gilbert, Alan"
230,New York Philharmonic,"Norman, Andrew","Gaffigan, James"
945,NYP Presentation,"Strauss, Richard","Gilbert, Alan"
111,New York Philharmonic,"Green, Joe","Dix, Brian"
753,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
769,Musicians from the New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
137,New York Philharmonic,"Rachmaninoff, Sergei","Dutoit, Charles"
472,New York Philharmonic,"Shostakovich, Dmitri","Gilbert, Alan"
378,NYP Presentation,"Morricone, Ennio","Gilbert, Alan"
900,New York Philharmonic,"Shostakovich, Dmitri","Gilbert, Alan"
733,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
322,New York Philharmonic,"Torch, Sidney","Gilbert, Alan"
652,Musicians from the New York Philharmonic,"Gershwin, George","Gilbert, Alan"
814,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
318,Musicians from the New York Philharmonic,"Rachmaninoff, Sergei","Gilbert, Alan"
696,NYP Presentation,"Bernstein, Leonard","Gilbert, Alan"
913,New York Philharmonic,"Sibelius, Jean","Gilbert, Alan"
590,New York Philharmonic,"Chabrier, Emmanuel","Gilbert, Alan"
155,New York Philharmonic,"Respighi, Ottorino","Dutoit, Charles"
397,Musicians from the New York Philharmonic,"Salonen, Esa-Pekka","Gilbert, Alan"
320,Musicians from the New York Philharmonic,"Ligeti, GyÌ¦rgy","Gilbert, Alan"
875,New York Philharmonic,"Debussy, Claude","Gilbert, Alan"
996,Musicians from the New York Philharmonic,"Lindberg, Magnus","Gilbert, Alan"
504,Musicians from the New York Philharmonic,"Brahms, Johannes","Gilbert, Alan"
792,New York Philharmonic,"Saint-Saens [Saint-SaÌÇns], Camille","Gilbert, Alan"
752,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
766,NYP Presentation,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
954,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
838,New York Philharmonic,"Puccini, Giacomo","Gilbert, Alan"
747,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
550,New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
775,New York Philharmonic,"Bartok [BartÌ_k], BÌ©la","Gilbert, Alan"
393,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
53,New York Philharmonic,"Franklyn, Milt","Daugherty, George"
91,Members of NY Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
724,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
988,New York Philharmonic,"Lindberg, Magnus","Gilbert, Alan"
409,New York Philharmonic,"VARIOUS,","Gilbert, Alan"
405,Shanghai Orchestra Academy,"Liu, Tianhua","Gilbert, Alan"
245,New York Philharmonic,"Hamlisch, Marvin","Gemignani, Paul"
501,New York Philharmonic,"Menotti, Gian Carlo","Gilbert, Alan"
132,New York Philharmonic,"Beethoven, Ludwig van","Dohnanyi, Christoph von"
891,Musicians from the New York Philharmonic,"Mahler, Gustav","Gilbert, Alan"
629,NYP Presentation,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
743,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
51,NYP Presentation,"Steiner, Max","Daugherty, George"
259,New York Philharmonic,"Rankin, Rimari","Gersen, Joshua"
462,Musicians from the New York Philharmonic,"Sousa, John Philip","Gilbert, Alan"
367,New York Philharmonic,"Rota, Nino","Gilbert, Alan"
130,New York Philharmonic,"Beethoven, Ludwig van","Dohnanyi, Christoph von"
494,Musicians from the New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
110,NYP Presentation,"Bernstein, Elmer","Dix, Brian"
779,New York Philharmonic,"Bartok [BartÌ_k], BÌ©la","Gilbert, Alan"
46,New York Philharmonic,"Brahms, Johannes","Bychkov, Semyon"
418,New York Philharmonic,"Gershwin, George","Gilbert, Alan"
735,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
220,Musicians from the New York Philharmonic,"Berlioz, Hector","Fruhbeck de Burgos, Rafael"
338,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
43,New York Philharmonic,"Chaplin, Charles","Brock, Timothy"
129,New York Philharmonic,"Brahms, Johannes","Dohnanyi, Christoph von"
305,New York Philharmonic,"Rouse, Christopher","Gilbert, Alan"
274,Musicians from the New York Philharmonic,"Egan, Elizabeth","Gersen, Joshua"
421,Musicians from the New York Philharmonic,"Schubert, Franz","Gilbert, Alan"
395,Musicians from the New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
530,Musicians from the New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
1006,New York Philharmonic,"Rodrigo, JoaquÌ_n","Gilbert, Alan"
575,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
67,New York Philharmonic,"Stalling, Carl W.","Daugherty, George"
926,New York Philharmonic,"Nielsen, Carl","Gilbert, Alan"
495,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
48,NY Philharmonic Ensembles,"Brahms, Johannes","Bychkov, Semyon"
482,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
946,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
962,New York Philharmonic,"Prokofiev, Sergei","Gilbert, Alan"
999,NYP Presentation,"Ravel, Maurice","Gilbert, Alan"
241,New York Philharmonic,"Hamlisch, Marvin","Gemignani, Paul"
143,New York Philharmonic,"Elgar, Sir Edward","Dutoit, Charles"
719,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
815,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
937,New York Philharmonic,"Nielsen, Carl","Gilbert, Alan"
868,New York Philharmonic,"Mendelssohn, Felix","Gilbert, Alan"
324,New York Philharmonic,"Salonen, Esa-Pekka","Gilbert, Alan"
299,NY Philharmonic Ensembles,"Louiguy, Louis","Gilbert, Alan"
822,Musicians from the New York Philharmonic,"Britten, Benjamin","Gilbert, Alan"
994,NYP Presentation,"Schubert, Franz","Gilbert, Alan"
869,NY Philharmonic Ensembles,"Mendelssohn, Felix","Gilbert, Alan"
757,New York Philharmonic,"Respighi, Ottorino","Gilbert, Alan"
781,NY Philharmonic Ensembles,"Bartok [BartÌ_k], BÌ©la","Gilbert, Alan"
264,Members of NY Philharmonic,"Juarez, Demicis","Gersen, Joshua"
993,NYP Presentation,"Robin, Yann","Gilbert, Alan"
597,New York Philharmonic,"Anderson, Leroy","Gilbert, Alan"
186,New York Philharmonic,"Copland, Aaron","Fisher, Rob"
315,New York Philharmonic,"Carey, Mariah","Gilbert, Alan"
300,Members of NY Philharmonic,"Marsalis, Wynton","Gilbert, Alan"
961,New York Philharmonic,"Prokofiev, Sergei","Gilbert, Alan"
542,New York Philharmonic,"Ligeti, GyÌ¦rgy","Gilbert, Alan"
453,New York Philharmonic,"Berg, Alban","Gilbert, Alan"
411,New York Philharmonic,"Bloom, Rube","Gilbert, Alan"
439,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
950,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
973,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
356,New York Philharmonic,"Grafe, Max","Gilbert, Alan"
341,New York Philharmonic,"Traditional,","Gilbert, Alan"
483,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
912,Members of NY Philharmonic,"Sibelius, Jean","Gilbert, Alan"
679,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
894,New York Philharmonic,"Mahler, Gustav","Gilbert, Alan"
572,New York Philharmonic,"Anthem,","Gilbert, Alan"
997,New York Philharmonic,"Williams, John","Gilbert, Alan"
127,Musicians from the New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Dohnanyi, Christoph von"
617,NYP Presentation,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
77,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
323,NYP Presentation,"Chin, Unsuk","Gilbert, Alan"
845,New York Philharmonic,"Rodgers, Richard","Gilbert, Alan"
31,New York Philharmonic,"Stravinsky, Igor","Boreyko, Andrey"
288,NY Philharmonic Ensembles,"Sibelius, Jean","Gersen, Joshua"
924,New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
175,Musicians from the New York Philharmonic,"Dvorak, AntonÌ_n","Eschenbach, Christoph"
526,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
174,New York Philharmonic,"Dvorak, AntonÌ_n","Eschenbach, Christoph"
160,New York Philharmonic,"Respighi, Ottorino","Dutoit, Charles"
756,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
268,New York Philharmonic,"Harris, Gavin","Gersen, Joshua"
283,NYP Presentation,"Sibelius, Jean","Gersen, Joshua"
520,Musicians from the New York Philharmonic,"Vivaldi, Antonio","Gilbert, Alan"
560,New York Philharmonic,"Copland, Aaron","Gilbert, Alan"
569,New York Philharmonic,"Anthem,","Gilbert, Alan"
701,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
407,New York Philharmonic,"Coleman, Cy","Gilbert, Alan"
860,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
179,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Fisher, Rob"
313,New York Philharmonic,"Carey, Mariah","Gilbert, Alan"
863,NYP Presentation,"Beethoven, Ludwig van","Gilbert, Alan"
147,New York Philharmonic,"Mozart, Wolfgang Amadeus","Dutoit, Charles"
802,New York Philharmonic,"Shostakovich, Dmitri","Gilbert, Alan"
1000,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
783,New York Philharmonic,"Bartok [BartÌ_k], BÌ©la","Gilbert, Alan"
1009,New York Philharmonic,"Denza, Luigi","Gilbert, Alan"
119,New York Philharmonic,"Dvorak, AntonÌ_n","Dohnanyi, Christoph von"
388,New York Philharmonic,"Lindberg, Magnus","Gilbert, Alan"
336,New York Philharmonic,"Eotvos [EÌ¦tvÌ¦s], Peter","Gilbert, Alan"
38,New York Philharmonic,"Dukas, Paul","Bringuier, Lionel"
936,Musicians from the New York Philharmonic,"Nielsen, Carl","Gilbert, Alan"
309,New York Philharmonic,"Anthem,","Gilbert, Alan"
71,New York Philharmonic,"Wagner, Richard","Daugherty, George"
107,New York Philharmonic,"Ray, Don","Dix, Brian"
723,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
890,Members of NY Philharmonic,"Mahler, Gustav","Gilbert, Alan"
333,New York Philharmonic,"Rouse, Christopher","Gilbert, Alan"
944,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
403,New York Philharmonic,"VARIOUS,","Gilbert, Alan"
265,New York Philharmonic,"Juarez, Demicis","Gersen, Joshua"
854,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
223,New York Philharmonic,"Mozart, Wolfgang Amadeus","Fruhbeck de Burgos, Rafael"
1,New York Philharmonic,"Darris, Samantha","Adelson, Michael"
117,NYP Presentation,"Djawadi, Ramin","Djawadi, Ramin"
984,Musicians from the New York Philharmonic,"Neikrug, Marc","Gilbert, Alan"
281,New York Philharmonic,"Sibelius, Jean","Gersen, Joshua"
144,New York Philharmonic,"Elgar, Sir Edward","Dutoit, Charles"
14,NYP Presentation,"Tchaikovsky, Pyotr Ilyich","Blomstedt, Herbert"
118,New York Philharmonic,"Djawadi, Ramin","Djawadi, Ramin"
164,New York Philharmonic,"Musorgsky, Modest","Dutoit, Charles"
654,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
820,New York Philharmonic,"Britten, Benjamin","Gilbert, Alan"
710,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
61,New York Philharmonic,"Franklyn, Milt","Daugherty, George"
740,New York Philharmonic,"Bloch, Ernest","Gilbert, Alan"
330,NYP Presentation,"Salonen, Esa-Pekka","Gilbert, Alan"
37,Musicians from the New York Philharmonic,"Kodaly [KodÌÁly], ZoltÌÁn","Bringuier, Lionel"
867,Members of NY Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
983,New York Philharmonic,"Schubert, Franz","Gilbert, Alan"
904,New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
24,New York Philharmonic,"Mozart, Wolfgang Amadeus","Boreyko, Andrey"
588,New York Philharmonic,"Chabrier, Emmanuel","Gilbert, Alan"
316,New York Philharmonic,"Carey, Mariah","Gilbert, Alan"
227,New York Philharmonic,"Mahler, Gustav","Fruhbeck de Burgos, Rafael"
402,New York Philharmonic,"Yanov-Yanovsky, Dmitri","Gilbert, Alan"
516,Musicians from the New York Philharmonic,"Strauss, Johann, II","Gilbert, Alan"
589,Musicians from the New York Philharmonic,"Chabrier, Emmanuel","Gilbert, Alan"
437,New York Philharmonic,"Chopin, FrÌ©dÌ©ric","Gilbert, Alan"
229,New York Philharmonic,"Falla, Manuel de","Fruhbeck de Burgos, Rafael"
95,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
298,New York Philharmonic,"Simons, Moises","Gilbert, Alan"
849,New York Philharmonic,"Copland, Aaron","Gilbert, Alan"
916,Musicians from the New York Philharmonic,"Musorgsky, Modest","Gilbert, Alan"
123,New York Philharmonic,"Dvorak, AntonÌ_n","Dohnanyi, Christoph von"
197,New York Philharmonic,"Bliss, Philip","Fisher, Rob"
662,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
505,New York Philharmonic,"Brahms, Johannes","Gilbert, Alan"
112,New York Philharmonic,"Greenwood, Lee","Dix, Brian"
203,New York Philharmonic,"Mendoza y CortÌ©s, Quirino","Fisher, Rob"
128,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Dohnanyi, Christoph von"
909,Musicians from the New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
722,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
293,New York Philharmonic,"Sibelius, Jean","Gersen, Joshua"
620,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
777,New York Philharmonic,"Bartok [BartÌ_k], BÌ©la","Gilbert, Alan"
212,Musicians from the New York Philharmonic,"Stein, Andy","Fisher, Rob"
613,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
442,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
825,New York Philharmonic,"Haydn, Franz Joseph","Gilbert, Alan"
852,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
966,NY Philharmonic Ensembles,"Prokofiev, Sergei","Gilbert, Alan"
221,New York Philharmonic,"Berlioz, Hector","Fruhbeck de Burgos, Rafael"
768,NY Philharmonic Ensembles,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
36,New York Philharmonic,"Prokofiev, Sergei","Bringuier, Lionel"
141,New York Philharmonic,"Stravinsky, Igor","Dutoit, Charles"
231,Musicians from the New York Philharmonic,"Strauss, Richard","Gaffigan, James"
922,Musicians from the New York Philharmonic,"Musorgsky, Modest","Gilbert, Alan"
546,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
326,NY Philharmonic Ensembles,"Salonen, Esa-Pekka","Gilbert, Alan"
605,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
334,New York Philharmonic,"Escaich, Thierry","Gilbert, Alan"
685,New York Philharmonic,"Gershwin, George","Gilbert, Alan"
296,NYP Presentation,"Gruber, HK","Gilbert, Alan"
737,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
729,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
830,Musicians from the New York Philharmonic,"Gershwin, George","Gilbert, Alan"
135,New York Philharmonic,"Henze, Hans Werner","Dohnanyi, Christoph von"
176,New York Philharmonic,"Dvorak, AntonÌ_n","Eschenbach, Christoph"
250,New York Philharmonic,"Berio, Luciano","Gersen, Joshua"
832,New York Philharmonic,"Gershwin, George","Gilbert, Alan"
672,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
650,Musicians from the New York Philharmonic,"Gershwin, George","Gilbert, Alan"
760,New York Philharmonic,"Respighi, Ottorino","Gilbert, Alan"
466,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
168,New York Philharmonic,"Glinka, Mikhail","Dutoit, Charles"
579,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
897,New York Philharmonic,"Mahler, Gustav","Gilbert, Alan"
602,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
596,New York Philharmonic,"Anderson, Leroy","Gilbert, Alan"
510,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
876,New York Philharmonic,"Walton, William","Gilbert, Alan"
351,NY Philharmonic Ensembles,"Traditional,","Gilbert, Alan"
624,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
25,New York Philharmonic,"Mozart, Wolfgang Amadeus","Boreyko, Andrey"
788,New York Philharmonic,"Saint-Saens [Saint-SaÌÇns], Camille","Gilbert, Alan"
100,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
935,Musicians from the New York Philharmonic,"Nielsen, Carl","Gilbert, Alan"
240,New York Philharmonic,"Hamlisch, Marvin","Gemignani, Paul"
969,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
915,Members of NY Philharmonic,"Musorgsky, Modest","Gilbert, Alan"
841,New York Philharmonic,"Haydn, Franz Joseph","Gilbert, Alan"
255,NYP Presentation,"Mostel, Raphael","Gersen, Joshua"
979,New York Philharmonic,"Corigliano, John, Jr.","Gilbert, Alan"
653,New York Philharmonic,"Honegger, Arthur","Gilbert, Alan"
214,New York Philharmonic,"Rota, Nino","Freer, Justin"
199,New York Philharmonic,"Peace, A. L.","Fisher, Rob"
515,New York Philharmonic,"Strauss, Johann, II","Gilbert, Alan"
859,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
684,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
564,New York Philharmonic,"Anthem,","Gilbert, Alan"
541,New York Philharmonic,"Debussy, Claude","Gilbert, Alan"
518,New York Philharmonic,"Strauss, Johann, II","Gilbert, Alan"
883,New York Philharmonic,"Barber, Samuel","Gilbert, Alan"
62,New York Philharmonic,"Stalling, Carl W.","Daugherty, George"
163,New York Philharmonic,"Musorgsky, Modest","Dutoit, Charles"
549,New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
5,New York Philharmonic,"Poniewozik, Milo","Adelson, Michael"
243,New York Philharmonic,"Hamlisch, Marvin","Gemignani, Paul"
492,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
35,Musicians from the New York Philharmonic,"Wagner, Richard","Boreyko, Andrey"
619,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
503,New York Philharmonic,"Brahms, Johannes","Gilbert, Alan"
534,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
952,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
864,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
651,New York Philharmonic,"Gershwin, George","Gilbert, Alan"
154,Musicians from the New York Philharmonic,"Respighi, Ottorino","Dutoit, Charles"
64,New York Philharmonic,"Lennertz, Christopher","Daugherty, George"
998,NYP Presentation,"Schubert, Franz","Gilbert, Alan"
267,New York Philharmonic,"Harris, Gavin","Gersen, Joshua"
763,New York Philharmonic,"Respighi, Ottorino","Gilbert, Alan"
847,New York Philharmonic,"Rodgers, Richard","Gilbert, Alan"
566,New York Philharmonic,"Anthem,","Gilbert, Alan"
623,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
843,New York Philharmonic,"Rodgers, Richard","Gilbert, Alan"
898,NYP Presentation,"Shostakovich, Dmitri","Gilbert, Alan"
687,Musicians from the New York Philharmonic,"Gershwin, George","Gilbert, Alan"
713,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
486,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
726,New York Philharmonic,"Stravinsky, Igor","Gilbert, Alan"
331,New York Philharmonic,"Adams, John","Gilbert, Alan"
306,New York Philharmonic,"Porter, Cole","Gilbert, Alan"
773,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
947,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
224,New York Philharmonic,"Bizet, Georges","Fruhbeck de Burgos, Rafael"
491,New York Philharmonic,"Rimsky-Korsakov, Nikolai","Gilbert, Alan"
810,NYP Presentation,"Strauss, Richard","Gilbert, Alan"
702,New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
16,New York Philharmonic,"Tcherepnin, Nikolai","Boreyko, Andrey"
951,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
709,Musicians from the New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
659,New York Philharmonic,"Ligeti, GyÌ¦rgy","Gilbert, Alan"
